tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-540,Wimbledon,Grass,128.0,G,20000626.0,42.0,103714.0,,,Andreas Vinciguerra,L,180.0,SWE,19.3483915127,39.0,832.0,102133.0,,,Laurence Tieleman,R,180.0,ITA,27.613963039,96.0,410.0,7-6(4) 6-1 6-7(7) 6-2,5.0,R128,138.0,13.0,9.0,129.0,78.0,61.0,24.0,20.0,2.0,6.0,10.0,12.0,135.0,69.0,48.0,28.0,19.0,9.0,17.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,43.0,101820.0,,,Marc Rosset,R,201.0,SUI,29.6344969199,33.0,930.0,102644.0,,,Franco Squillari,L,183.0,ARG,24.8459958932,19.0,1232.0,7-5 6-3 7-6(4),5.0,R128,113.0,26.0,5.0,103.0,67.0,55.0,23.0,17.0,3.0,3.0,7.0,3.0,113.0,70.0,51.0,23.0,16.0,6.0,8.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,44.0,103157.0,,WC,Arvind Parmar,R,193.0,GBR,22.264202601,137.0,282.0,102987.0,,,Andre Sa,R,185.0,BRA,23.1403148528,83.0,488.0,6-7(2) 6-3 4-6 6-2 6-3,5.0,R128,173.0,13.0,4.0,150.0,90.0,72.0,32.0,24.0,9.0,10.0,5.0,1.0,158.0,103.0,70.0,28.0,24.0,6.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,45.0,102880.0,,,Alexander Popp,R,201.0,GER,23.6413415469,114.0,361.0,101086.0,,,Ronald Agenor,R,180.0,USA,35.6167008898,98.0,408.0,0-6 7-5 7-6(10) 6-2,5.0,R128,144.0,9.0,8.0,131.0,76.0,59.0,20.0,19.0,10.0,16.0,8.0,6.0,123.0,63.0,43.0,31.0,19.0,5.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,46.0,102021.0,,,Michael Chang,R,175.0,USA,28.3422313484,24.0,1115.0,103292.0,,,Gaston Gaudio,R,175.0,ARG,21.5468856947,41.0,822.0,6-2 6-3 6-2,5.0,R128,86.0,3.0,1.0,73.0,45.0,34.0,20.0,13.0,2.0,3.0,3.0,3.0,78.0,48.0,27.0,13.0,12.0,4.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,47.0,103198.0,,Q,Justin Bower,L,190.0,RSA,22.0944558522,509.0,39.0,102106.0,,,Davide Sanguinetti,R,188.0,ITA,27.8357289528,87.0,470.0,6-3 7-6(1) 4-6 7-6(1),5.0,R128,167.0,16.0,6.0,155.0,101.0,79.0,28.0,22.0,6.0,8.0,13.0,1.0,117.0,69.0,51.0,33.0,21.0,0.0,2.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,48.0,102856.0,4.0,,Gustavo Kuerten,R,190.0,BRA,23.7919233402,4.0,3211.0,102162.0,,,Chris Woodruff,R,188.0,USA,27.4798083504,46.0,786.0,6-4 6-7(5) 7-5 7-6(5),5.0,R128,165.0,29.0,8.0,132.0,83.0,75.0,24.0,23.0,2.0,4.0,11.0,3.0,146.0,94.0,71.0,29.0,23.0,7.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,49.0,102450.0,8.0,,Tim Henman,R,185.0,GBR,25.8042436687,14.0,1597.0,103387.0,,,Paradorn Srichaphan,R,185.0,THA,21.0349075975,90.0,453.0,5-7 6-3 6-1 6-3,5.0,R128,144.0,7.0,4.0,113.0,62.0,51.0,30.0,19.0,5.0,6.0,1.0,3.0,115.0,73.0,49.0,19.0,18.0,7.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,50.0,103096.0,,,Arnaud Clement,R,173.0,FRA,22.5242984257,58.0,684.0,101964.0,,,Goran Ivanisevic,L,193.0,CRO,28.7857631759,65.0,629.0,6-3 3-6 6-3 6-4,5.0,R128,101.0,18.0,5.0,114.0,62.0,52.0,27.0,19.0,4.0,6.0,29.0,5.0,93.0,59.0,46.0,16.0,18.0,4.0,8.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,51.0,102271.0,,,Hicham Arazi,L,175.0,MAR,26.6858316222,38.0,867.0,102572.0,,Q,Igor Gaudi,R,188.0,ITA,25.2128678987,218.0,157.0,6-2 6-4 6-0,5.0,R128,68.0,9.0,5.0,69.0,36.0,30.0,22.0,12.0,2.0,2.0,0.0,11.0,69.0,38.0,21.0,13.0,12.0,6.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,52.0,102205.0,,LL,Sebastien Lareau,R,183.0,CAN,27.1649555099,133.0,287.0,103188.0,,Q,Michael Russell,R,173.0,USA,22.1546885695,183.0,202.0,7-6(6) 6-2 1-6 6-2,5.0,R128,121.0,15.0,8.0,103.0,60.0,46.0,21.0,17.0,1.0,5.0,10.0,10.0,109.0,57.0,41.0,24.0,18.0,3.0,9.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,53.0,102854.0,,,Sjeng Schalken,R,193.0,NED,23.7973990418,53.0,723.0,102567.0,,,George Bastl,R,183.0,SUI,25.2375085558,73.0,569.0,6-2 6-4 6-2,5.0,R128,100.0,16.0,5.0,69.0,49.0,41.0,10.0,13.0,0.0,1.0,6.0,7.0,96.0,61.0,37.0,13.0,13.0,9.0,15.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,54.0,103294.0,,,Christophe Rochus,R,170.0,BEL,21.53045859,89.0,456.0,102025.0,,,Mikael Tillstrom,R,185.0,SWE,28.3093771389,62.0,666.0,4-6 7-6(7) 6-2 4-6 6-1,5.0,R128,161.0,9.0,5.0,158.0,95.0,67.0,33.0,23.0,7.0,12.0,17.0,6.0,161.0,84.0,61.0,35.0,24.0,14.0,22.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,55.0,103324.0,,,Arnaud Di Pasquale,R,185.0,FRA,21.3716632444,49.0,764.0,103182.0,,,Markus Hipfl,R,178.0,AUT,22.1683778234,97.0,408.0,4-6 6-4 6-4 6-7(5) 6-1,5.0,R128,178.0,6.0,8.0,169.0,102.0,65.0,36.0,25.0,9.0,14.0,7.0,4.0,133.0,87.0,58.0,24.0,24.0,2.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,56.0,102882.0,10.0,,Mark Philippoussis,R,196.0,AUS,23.6331279945,18.0,1281.0,103781.0,,Q,Jurgen Melzer,L,183.0,AUT,19.0965092402,387.0,68.0,6-4 7-6(3) 5-7 6-4,5.0,R128,133.0,26.0,6.0,119.0,89.0,73.0,16.0,22.0,4.0,6.0,16.0,3.0,126.0,84.0,64.0,22.0,22.0,2.0,5.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,57.0,103498.0,15.0,,Marat Safin,R,193.0,RUS,20.4134154689,9.0,1933.0,102869.0,,,Galo Blanco,R,173.0,ESP,23.7152635181,74.0,568.0,7-6(2) 6-3 6-4,5.0,R128,94.0,7.0,8.0,101.0,56.0,44.0,25.0,16.0,3.0,5.0,9.0,7.0,99.0,53.0,37.0,23.0,15.0,5.0,9.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,58.0,102093.0,,,Martin Damm,R,188.0,CZE,27.9014373717,86.0,476.0,103162.0,,Q,Dejan Petrovic,R,,SRB,22.2313483915,185.0,201.0,6-1 6-4 6-1,5.0,R128,82.0,1.0,0.0,64.0,43.0,34.0,14.0,12.0,2.0,3.0,4.0,5.0,70.0,36.0,19.0,15.0,12.0,3.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,59.0,102184.0,,Q,David Prinosil,R,185.0,GER,27.2991101985,84.0,486.0,102227.0,,,Sargis Sargsian,R,180.0,ARM,27.0636550308,79.0,525.0,2-6 6-1 6-2 6-4,5.0,R128,148.0,12.0,9.0,115.0,61.0,47.0,29.0,17.0,7.0,9.0,5.0,7.0,111.0,69.0,47.0,18.0,16.0,10.0,15.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,60.0,101902.0,,Q,Stephane Huet,L,180.0,FRA,29.1718001369,108.0,371.0,102405.0,,WC,Mahesh Bhupathi,R,185.0,IND,26.0533880903,1049.0,4.0,6-7(5) 6-3 7-6(4) 6-1,5.0,R128,130.0,17.0,1.0,128.0,72.0,55.0,37.0,21.0,0.0,1.0,12.0,11.0,122.0,72.0,54.0,24.0,19.0,4.0,8.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,61.0,102259.0,,,Jerome Golmard,L,188.0,FRA,26.7953456537,70.0,593.0,102642.0,,LL,Cyril Saulnier,R,190.0,FRA,24.8624229979,124.0,324.0,7-5 6-4 6-4,5.0,R128,105.0,20.0,1.0,93.0,65.0,49.0,19.0,16.0,5.0,5.0,8.0,3.0,84.0,51.0,40.0,18.0,16.0,2.0,5.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,62.0,102905.0,,,Stefan Koubek,L,175.0,AUT,23.4798083504,36.0,878.0,102437.0,,,Adrian Voinea,R,185.0,ROU,25.8891170431,93.0,448.0,3-3 RET,5.0,R128,22.0,2.0,2.0,21.0,12.0,9.0,6.0,3.0,1.0,1.0,1.0,0.0,19.0,15.0,11.0,2.0,3.0,0.0,0.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,63.0,101774.0,,,Todd Martin,R,198.0,USA,29.9685147159,20.0,1172.0,102966.0,,LL,Fredrik Jonsson,R,193.0,SWE,23.2470910335,118.0,339.0,7-6(7) 7-6(1) 6-2,5.0,R128,116.0,27.0,5.0,95.0,62.0,57.0,20.0,16.0,0.0,0.0,16.0,0.0,105.0,72.0,56.0,15.0,16.0,3.0,5.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,64.0,101736.0,2.0,,Andre Agassi,R,180.0,USA,30.160164271,1.0,4375.0,103758.0,,Q,Taylor Dent,R,188.0,USA,19.1731690623,256.0,126.0,2-6 6-3 6-0 4-0 RET,5.0,R128,89.0,4.0,1.0,64.0,38.0,26.0,20.0,13.0,2.0,5.0,6.0,7.0,94.0,53.0,29.0,12.0,14.0,8.0,16.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,65.0,101948.0,1.0,,Pete Sampras,R,185.0,USA,28.8733744011,3.0,3261.0,102344.0,,,Karol Kucera,R,188.0,SVK,26.3134839151,44.0,809.0,7-6(9) 3-6 6-3 6-4,5.0,R64,175.0,12.0,9.0,145.0,95.0,69.0,26.0,20.0,8.0,11.0,13.0,5.0,128.0,70.0,50.0,32.0,20.0,6.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,66.0,102925.0,,,Justin Gimelstob,R,196.0,USA,23.4140999316,99.0,403.0,103566.0,,Q,Michael Llodra,L,190.0,FRA,20.1067761807,158.0,237.0,7-6(3) 6-3 6-4,5.0,R64,124.0,7.0,10.0,107.0,65.0,51.0,17.0,16.0,5.0,9.0,5.0,9.0,113.0,71.0,49.0,13.0,15.0,6.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,67.0,102524.0,,Q,Neville Godwin,R,173.0,RSA,25.401779603,203.0,172.0,103252.0,,,Alberto Martin,R,175.0,ESP,21.8507871321,67.0,608.0,7-5 6-4 6-3,5.0,R64,128.0,3.0,7.0,91.0,51.0,46.0,19.0,15.0,7.0,8.0,4.0,11.0,110.0,61.0,41.0,22.0,16.0,5.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,68.0,102035.0,,,Jonas Bjorkman,R,183.0,SWE,28.2600958248,78.0,541.0,101792.0,,,Slava Dosedel,R,183.0,CZE,29.8672142368,50.0,763.0,6-4 6-3 6-0,5.0,R64,100.0,1.0,3.0,76.0,54.0,37.0,14.0,12.0,8.0,10.0,4.0,5.0,79.0,52.0,32.0,7.0,13.0,6.0,14.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,69.0,102358.0,9.0,,Thomas Enqvist,R,190.0,SWE,26.288843258,8.0,1948.0,101532.0,,,Francisco Clavet,L,183.0,ESP,31.6714579055,42.0,820.0,7-6(2) 7-6(6) 7-5,5.0,R64,134.0,19.0,13.0,124.0,72.0,63.0,24.0,18.0,7.0,8.0,11.0,1.0,115.0,89.0,64.0,15.0,18.0,5.0,7.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,70.0,102652.0,,Q,Christian Vinck,L,183.0,GER,24.8131416838,160.0,236.0,103248.0,,Q,Harel Levy,R,185.0,ISR,21.8918548939,142.0,268.0,6-4 7-6(2) 7-5,5.0,R64,128.0,3.0,7.0,116.0,80.0,57.0,19.0,17.0,6.0,9.0,6.0,2.0,118.0,61.0,43.0,23.0,17.0,7.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,71.0,102834.0,,,Paul Goldstein,R,178.0,USA,23.8932238193,76.0,554.0,101543.0,,,Jeff Tarango,L,180.0,USA,31.5975359343,60.0,678.0,3-6 6-2 5-7 6-2 12-10,5.0,R64,246.0,13.0,3.0,190.0,130.0,80.0,35.0,29.0,13.0,20.0,5.0,17.0,202.0,115.0,79.0,38.0,30.0,13.0,23.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,72.0,102998.0,,,Jan Michael Gambill,R,190.0,USA,23.0636550308,56.0,707.0,102148.0,,,Fabrice Santoro,R,178.0,FRA,27.5455167693,30.0,977.0,4-6 6-4 6-2 6-2,5.0,R64,142.0,14.0,1.0,99.0,66.0,56.0,16.0,18.0,1.0,2.0,3.0,8.0,118.0,75.0,55.0,15.0,18.0,11.0,16.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,73.0,103694.0,,Q,Olivier Rochus,R,168.0,BEL,19.4360027379,179.0,205.0,102796.0,3.0,,Magnus Norman,R,188.0,SWE,24.0739219713,2.0,3522.0,6-4 2-6 6-4 6-7(4) 6-1,5.0,R64,194.0,2.0,3.0,164.0,117.0,77.0,24.0,24.0,9.0,13.0,18.0,12.0,150.0,85.0,68.0,26.0,23.0,9.0,15.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,74.0,101150.0,,,Gianluca Pozzi,L,180.0,ITA,35.0253251198,64.0,644.0,101711.0,,Q,Alex Obrien,R,185.0,USA,30.3052703628,192.0,187.0,7-6(6) 6-3 6-4,5.0,R64,141.0,19.0,3.0,112.0,55.0,45.0,35.0,16.0,6.0,6.0,7.0,3.0,102.0,63.0,50.0,20.0,15.0,5.0,7.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,75.0,101647.0,,,Byron Black,R,175.0,ZIM,30.7214236824,52.0,735.0,103103.0,,,Dominik Hrbaty,R,183.0,SVK,22.4750171116,32.0,950.0,6-3 7-5 6-2,5.0,R64,94.0,6.0,3.0,99.0,60.0,45.0,19.0,15.0,4.0,6.0,9.0,1.0,89.0,48.0,36.0,12.0,14.0,7.0,13.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,76.0,102287.0,,,Albert Portas,R,188.0,ESP,26.6119096509,55.0,709.0,102434.0,,,Vincent Spadea,R,183.0,USA,25.9383983573,61.0,670.0,6-4 6-3 6-3,5.0,R64,107.0,4.0,3.0,86.0,48.0,37.0,23.0,14.0,4.0,4.0,7.0,6.0,101.0,50.0,37.0,23.0,14.0,7.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,77.0,101965.0,,,Wayne Ferreira,R,185.0,RSA,28.7802874743,37.0,868.0,101990.0,11.0,,Richard Krajicek,R,196.0,NED,28.5557837098,27.0,1085.0,5-7 6-3 6-3 7-6(3),5.0,R64,146.0,13.0,2.0,120.0,76.0,61.0,26.0,21.0,3.0,6.0,12.0,11.0,157.0,102.0,75.0,20.0,21.0,10.0,15.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,78.0,102318.0,,,Andrei Pavel,R,183.0,ROU,26.4120465435,34.0,925.0,102110.0,,,Daniel Nestor,L,190.0,CAN,27.8083504449,154.0,243.0,7-6(6) 7-5 4-6 6-0,5.0,R64,128.0,19.0,5.0,108.0,76.0,63.0,16.0,20.0,2.0,4.0,15.0,3.0,131.0,88.0,62.0,19.0,20.0,6.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,79.0,101962.0,,,Younes El Aynaoui,R,193.0,MAR,28.7885010267,16.0,1499.0,103114.0,,WC,Martin Lee,L,180.0,GBR,22.4503764545,259.0,125.0,6-7(7) 6-2 6-2 6-2,5.0,R64,124.0,10.0,1.0,112.0,76.0,58.0,22.0,18.0,0.0,1.0,8.0,5.0,113.0,72.0,50.0,13.0,18.0,2.0,9.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,80.0,103166.0,,Q,Vladimir Voltchkov,R,180.0,BLR,22.2203969884,237.0,140.0,101611.0,6.0,,Cedric Pioline,R,188.0,FRA,31.0308008214,6.0,2204.0,6-3 6-3 2-6 3-6 6-4,5.0,R64,171.0,12.0,9.0,145.0,81.0,64.0,28.0,22.0,11.0,15.0,20.0,14.0,135.0,73.0,61.0,26.0,23.0,7.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,81.0,102563.0,,,Thomas Johansson,R,180.0,SWE,25.2594113621,57.0,705.0,102338.0,5.0,,Yevgeny Kafelnikov,R,190.0,RUS,26.3518138261,5.0,3016.0,6-1 7-6(0) 6-4,5.0,R64,102.0,16.0,1.0,92.0,49.0,37.0,22.0,15.0,4.0,7.0,2.0,11.0,82.0,51.0,33.0,11.0,14.0,4.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,82.0,101320.0,,,Magnus Gustafsson,R,185.0,SWE,33.4784394251,72.0,575.0,103018.0,,,Max Mirnyi,R,196.0,BLR,22.9733059548,59.0,679.0,6-4 6-3 6-1,5.0,R64,90.0,4.0,4.0,74.0,52.0,39.0,14.0,13.0,3.0,4.0,5.0,2.0,93.0,68.0,43.0,6.0,13.0,8.0,14.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,83.0,102783.0,,,Rainer Schuettler,R,180.0,GER,24.1697467488,77.0,550.0,102765.0,,,Nicolas Escude,R,185.0,FRA,24.2299794661,17.0,1307.0,6-4 7-6(3) 7-6(5),5.0,R64,169.0,6.0,3.0,125.0,77.0,49.0,29.0,17.0,11.0,15.0,6.0,7.0,135.0,67.0,51.0,24.0,17.0,10.0,15.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,84.0,102158.0,12.0,,Patrick Rafter,R,185.0,AUS,27.4934976044,21.0,1165.0,101889.0,,WC,Todd Woodbridge,R,178.0,AUS,29.234770705,171.0,218.0,6-3 6-3 6-4,5.0,R64,114.0,7.0,2.0,83.0,55.0,44.0,13.0,14.0,4.0,6.0,2.0,9.0,103.0,59.0,32.0,23.0,14.0,8.0,14.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,85.0,103163.0,,,Tommy Haas,R,188.0,GER,22.2313483915,23.0,1150.0,103714.0,,,Andreas Vinciguerra,L,180.0,SWE,19.3483915127,39.0,832.0,6-3 7-6(3) 6-3,5.0,R64,109.0,13.0,4.0,81.0,42.0,36.0,30.0,16.0,1.0,2.0,8.0,7.0,118.0,66.0,44.0,24.0,14.0,14.0,17.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,86.0,101820.0,,,Marc Rosset,R,201.0,SUI,29.6344969199,33.0,930.0,103157.0,,WC,Arvind Parmar,R,193.0,GBR,22.264202601,137.0,282.0,7-6(4) 7-5 6-3,5.0,R64,107.0,15.0,7.0,95.0,61.0,56.0,18.0,17.0,0.0,1.0,5.0,3.0,105.0,78.0,53.0,16.0,16.0,5.0,8.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,87.0,102880.0,,,Alexander Popp,R,201.0,GER,23.6413415469,114.0,361.0,102021.0,,,Michael Chang,R,175.0,USA,28.3422313484,24.0,1115.0,7-6(5) 4-6 6-7(3) 6-3 8-6,5.0,R64,228.0,8.0,12.0,190.0,115.0,81.0,38.0,28.0,10.0,15.0,7.0,5.0,191.0,116.0,83.0,33.0,29.0,9.0,16.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,88.0,102856.0,4.0,,Gustavo Kuerten,R,190.0,BRA,23.7919233402,4.0,3211.0,103198.0,,Q,Justin Bower,L,190.0,RSA,22.0944558522,509.0,39.0,6-4 6-4 7-5,5.0,R64,92.0,11.0,5.0,85.0,53.0,46.0,20.0,16.0,2.0,3.0,11.0,4.0,95.0,65.0,46.0,14.0,16.0,6.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,89.0,102450.0,8.0,,Tim Henman,R,185.0,GBR,25.8042436687,14.0,1597.0,103096.0,,,Arnaud Clement,R,173.0,FRA,22.5242984257,58.0,684.0,6-4 6-4 6-4,5.0,R64,128.0,16.0,5.0,94.0,55.0,45.0,17.0,15.0,6.0,8.0,1.0,2.0,97.0,57.0,39.0,17.0,15.0,6.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,90.0,102271.0,,,Hicham Arazi,L,175.0,MAR,26.6858316222,38.0,867.0,102205.0,,LL,Sebastien Lareau,R,183.0,CAN,27.1649555099,133.0,287.0,6-3 3-6 6-7(6) 6-4 9-7,5.0,R64,201.0,23.0,9.0,205.0,122.0,84.0,40.0,28.0,12.0,17.0,16.0,9.0,178.0,105.0,78.0,34.0,28.0,5.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,91.0,102854.0,,,Sjeng Schalken,R,193.0,NED,23.7973990418,53.0,723.0,103294.0,,,Christophe Rochus,R,170.0,BEL,21.53045859,89.0,456.0,6-4 6-3 6-1,5.0,R64,99.0,17.0,11.0,81.0,42.0,33.0,20.0,13.0,3.0,5.0,4.0,7.0,106.0,59.0,31.0,21.0,13.0,11.0,18.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,92.0,102882.0,10.0,,Mark Philippoussis,R,196.0,AUS,23.6331279945,18.0,1281.0,103324.0,,,Arnaud Di Pasquale,R,185.0,FRA,21.3716632444,49.0,764.0,4-6 7-6(0) 6-3 6-0,5.0,R64,138.0,24.0,8.0,107.0,65.0,56.0,24.0,18.0,7.0,8.0,3.0,5.0,131.0,84.0,47.0,29.0,19.0,5.0,10.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,93.0,102093.0,,,Martin Damm,R,188.0,CZE,27.9014373717,86.0,476.0,103498.0,15.0,,Marat Safin,R,193.0,RUS,20.4134154689,9.0,1933.0,7-5 7-6(4) 6-3,5.0,R64,123.0,3.0,8.0,115.0,67.0,54.0,30.0,17.0,6.0,6.0,20.0,3.0,109.0,69.0,55.0,16.0,16.0,4.0,6.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,94.0,102184.0,,Q,David Prinosil,R,185.0,GER,27.2991101985,84.0,486.0,101902.0,,Q,Stephane Huet,L,180.0,FRA,29.1718001369,108.0,371.0,6-4 2-6 6-1 6-2,5.0,R64,105.0,10.0,6.0,99.0,49.0,39.0,25.0,17.0,6.0,9.0,8.0,5.0,87.0,43.0,31.0,21.0,16.0,3.0,9.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,95.0,102259.0,,,Jerome Golmard,L,188.0,FRA,26.7953456537,70.0,593.0,102905.0,,,Stefan Koubek,L,175.0,AUT,23.4798083504,36.0,878.0,7-6(4) 4-6 6-1 6-2,5.0,R64,154.0,4.0,9.0,120.0,70.0,55.0,23.0,19.0,9.0,12.0,8.0,6.0,128.0,77.0,54.0,20.0,18.0,10.0,16.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,96.0,101736.0,2.0,,Andre Agassi,R,180.0,USA,30.160164271,1.0,4375.0,101774.0,,,Todd Martin,R,198.0,USA,29.9685147159,20.0,1172.0,6-4 2-6 7-6(3) 2-6 10-8,5.0,R64,227.0,9.0,9.0,197.0,114.0,74.0,45.0,28.0,14.0,21.0,20.0,8.0,172.0,104.0,76.0,38.0,28.0,6.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,97.0,101948.0,1.0,,Pete Sampras,R,185.0,USA,28.8733744011,3.0,3261.0,102925.0,,,Justin Gimelstob,R,196.0,USA,23.4140999316,99.0,403.0,2-6 6-4 6-2 6-2,5.0,R32,127.0,10.0,8.0,105.0,73.0,54.0,19.0,17.0,5.0,7.0,11.0,9.0,103.0,57.0,42.0,22.0,17.0,3.0,8.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,98.0,102035.0,,,Jonas Bjorkman,R,183.0,SWE,28.2600958248,78.0,541.0,102524.0,,Q,Neville Godwin,R,173.0,RSA,25.401779603,203.0,172.0,6-3 6-4 6-4,5.0,R32,103.0,2.0,3.0,85.0,63.0,47.0,13.0,15.0,2.0,4.0,7.0,2.0,83.0,46.0,34.0,12.0,14.0,6.0,11.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,99.0,102358.0,9.0,,Thomas Enqvist,R,190.0,SWE,26.288843258,8.0,1948.0,102652.0,,Q,Christian Vinck,L,183.0,GER,24.8131416838,160.0,236.0,6-3 6-7(4) 2-6 6-3 6-3,5.0,R32,165.0,16.0,18.0,138.0,77.0,62.0,28.0,23.0,6.0,10.0,7.0,5.0,146.0,91.0,66.0,22.0,24.0,9.0,16.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,100.0,102998.0,,,Jan Michael Gambill,R,190.0,USA,23.0636550308,56.0,707.0,102834.0,,,Paul Goldstein,R,178.0,USA,23.8932238193,76.0,554.0,7-6(10) 6-2 6-2,5.0,R32,131.0,24.0,2.0,94.0,54.0,46.0,21.0,14.0,3.0,4.0,2.0,0.0,105.0,66.0,44.0,16.0,14.0,9.0,14.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,101.0,101150.0,,,Gianluca Pozzi,L,180.0,ITA,35.0253251198,64.0,644.0,103694.0,,Q,Olivier Rochus,R,168.0,BEL,19.4360027379,179.0,205.0,6-3 3-6 7-6(3) 6-2,5.0,R32,167.0,12.0,6.0,120.0,56.0,41.0,31.0,19.0,8.0,13.0,1.0,3.0,119.0,75.0,47.0,22.0,19.0,2.0,9.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,102.0,101647.0,,,Byron Black,R,175.0,ZIM,30.7214236824,52.0,735.0,102287.0,,,Albert Portas,R,188.0,ESP,26.6119096509,55.0,709.0,6-2 6-0 6-4,5.0,R32,76.0,4.0,5.0,66.0,38.0,35.0,15.0,12.0,2.0,2.0,4.0,5.0,79.0,46.0,30.0,12.0,12.0,6.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,103.0,101965.0,,,Wayne Ferreira,R,185.0,RSA,28.7802874743,37.0,868.0,102318.0,,,Andrei Pavel,R,183.0,ROU,26.4120465435,34.0,925.0,3-6 7-6(3) 7-5 6-3,5.0,R32,141.0,22.0,2.0,131.0,76.0,60.0,27.0,20.0,8.0,11.0,5.0,6.0,136.0,86.0,62.0,26.0,22.0,7.0,12.0
2000-540,Wimbledon,Grass,128.0,G,20000626.0,104.0,103166.0,,Q,Vladimir Voltchkov,R,180.0,BLR,22.2203969884,237.0,140.0,101962.0,,,Younes El Aynaoui,R,193.0,MAR,28.7885010267,16.0,1499.0,7-6(4) 7-5 7-6(4),5.0,R32,142.0,13.0,5.0,122.0,54.0,46.0,44.0,18.0,8.0,8.0,7.0,7.0,102.0,65.0,54.0,18.0,18.0,0.0,1.0
